Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
7985,2567,99,6,379,25,1253,230,232,136,1414,56.32,268.73,1002.8,20.74,Type_2,Area_3,Type_5
13500,2789,58,7,551,55,240,226,225,133,912,72.54,389.08,94.67,5.38,Type_11,Area_3,Type_5
11569,2739,91,10,30,4,1398,235,225,120,2343,36.01,289.59,777.3,10.56,Type_23,Area_1,Type_5
13803,2887,332,12,607,121,2201,191,224,172,767,87.95,314.07,418.72,20.21,Type_11,Area_3,Type_5
3113,2872,225,18,285,37,1077,192,254,194,1756,72.84,372.33,838.12,24.75,Type_13,Area_3,Type_5
12206,2858,54,17,85,29,900,228,202,102,277,30.76,237.18,1117.9,26.99,Type_30,Area_1,Type_5
6564,2961,179,9,722,129,564,224,246,154,1530,64.62,153.88,304.19,19.0,Type_4,Area_3,Type_5
1206,2715,55,12,127,38,134,227,215,119,2022,76.22,220.36,242.73,14.45,Type_29,Area_1,Type_5
5088,2799,83,10,60,3,2308,234,223,120,1298,33.72,351.3,1086.62,41.84,Type_13,Area_3,Type_5
875,2896,351,8,30,3,4803,206,227,159,1702,31.52,431.34,178.64,62.14,Type_23,Area_1,Type_5
6651,2891,229,9,424,59,797,206,249,180,1616,35.33,257.02,1161.34,9.2,Type_4,Area_3,Type_5
3450,2905,183,16,108,13,256,222,249,154,939,33.2,302.11,890.41,58.93,Type_33,Area_3,Type_5
14242,2778,0,3,30,1,1712,215,234,156,2420,83.31,321.25,1058.81,64.91,Type_17,Area_3,Type_5
1404,2799,27,11,212,151,218,216,216,136,1357,74.18,313.56,1108.6,14.54,Type_29,Area_1,Type_5
1440,2828,72,45,228,163,234,223,113,0,1443,70.41,338.23,844.92,52.46,Type_30,Area_1,Type_5
3540,2859,165,16,60,4,361,232,244,138,1116,33.75,438.34,773.09,28.07,Type_13,Area_3,Type_5
11656,2952,294,8,67,10,4794,197,238,181,2148,66.52,323.9,418.46,60.58,Type_29,Area_1,Type_5
8597,2833,131,14,190,84,2010,242,232,116,882,61.78,385.01,626.61,5.74,Type_13,Area_3,Type_5
1707,2858,90,28,335,217,350,249,184,45,1986,68.45,326.21,720.02,43.97,Type_30,Area_1,Type_5
11642,2909,355,5,30,-4,4913,211,230,157,1756,79.27,284.9,545.38,14.67,Type_23,Area_1,Type_5
1398,2823,72,26,313,136,323,238,180,57,1441,44.92,427.38,247.46,51.19,Type_30,Area_1,Type_5
6634,2902,184,18,531,70,765,222,249,154,1615,61.48,208.71,888.82,36.09,Type_4,Area_3,Type_5
6566,2956,185,11,649,124,607,222,248,158,1452,51.37,252.63,694.52,25.5,Type_4,Area_3,Type_5
7030,2716,346,10,30,3,1503,201,225,162,1317,39.13,286.62,676.12,42.87,Type_10,Area_3,Type_5
1205,2729,57,11,201,59,218,228,217,121,2099,59.32,421.8,527.08,59.86,Type_29,Area_1,Type_5
11966,2738,91,19,150,86,180,245,207,84,1177,57.18,222.23,250.86,35.75,Type_30,Area_1,Type_5
7967,2568,337,5,170,12,1579,208,232,163,1725,46.49,257.64,1187.98,11.08,Type_2,Area_3,Type_5
11735,2844,58,18,573,170,601,230,198,94,2455,56.96,212.95,272.52,11.24,Type_24,Area_1,Type_5
388,2671,109,26,175,55,1350,253,200,58,664,40.65,263.74,453.45,24.91,Type_30,Area_1,Type_5
11350,2511,18,1,150,18,726,218,236,156,5514,81.76,271.65,326.16,10.87,Type_18,Area_1,Type_5
2526,2720,122,16,67,-18,379,245,226,105,437,46.73,406.4,258.42,63.21,Type_30,Area_1,Type_5
1609,2830,88,35,256,128,300,246,161,14,2568,44.02,386.81,176.29,23.62,Type_30,Area_1,Type_5
1243,2797,55,28,350,118,362,224,168,59,1989,76.26,407.27,891.91,51.78,Type_29,Area_1,Type_5
889,2910,266,4,42,2,4983,210,241,169,1673,35.97,306.61,413.81,36.26,Type_23,Area_1,Type_5
10199,2847,57,20,124,43,2228,229,192,87,2289,42.09,181.05,1195.37,34.95,Type_33,Area_3,Type_5
1174,2703,55,11,120,35,150,227,216,121,2148,45.59,403.44,503.71,45.12,Type_29,Area_1,Type_5
14279,2750,281,5,371,49,1381,206,240,173,1935,77.88,273.24,835.58,54.37,Type_11,Area_3,Type_5
8587,2822,153,9,180,22,2161,231,241,141,2197,82.41,193.65,682.57,19.53,Type_26,Area_3,Type_5
8334,2780,141,16,525,146,2711,242,234,116,1994,55.91,443.05,234.61,14.14,Type_10,Area_3,Type_5
1793,2763,58,22,240,121,242,230,187,79,1652,60.73,432.51,785.84,39.66,Type_30,Area_1,Type_5
11485,2661,21,15,0,0,1415,209,207,132,655,39.93,398.8,164.47,10.3,Type_29,Area_1,Type_5
8381,2872,177,16,1015,94,2431,226,247,148,1473,60.9,385.18,908.43,59.84,Type_13,Area_3,Type_5
7846,2546,9,8,30,0,1643,211,224,150,1690,66.87,181.96,405.38,58.19,Type_17,Area_3,Type_5
12483,2878,200,6,420,117,2103,218,246,163,750,43.19,221.19,609.75,49.86,Type_31,Area_3,Type_5
6408,2704,47,9,127,13,153,224,220,130,872,48.88,405.19,158.2,34.11,Type_11,Area_3,Type_5
12078,2900,233,7,180,14,1847,208,247,176,1626,62.87,188.79,498.39,15.99,Type_33,Area_3,Type_5
1290,2771,56,30,175,88,190,224,163,53,1587,34.71,420.08,271.33,48.2,Type_29,Area_1,Type_5
1252,2801,60,27,335,122,361,229,172,59,1900,58.89,376.89,782.51,51.18,Type_29,Area_1,Type_5
1399,2811,67,21,285,124,295,236,193,80,1415,67.03,365.91,873.85,22.2,Type_29,Area_1,Type_5
2420,2861,274,15,30,2,1982,178,242,203,1360,53.28,258.37,179.0,55.55,Type_23,Area_3,Type_5
12130,2941,101,23,335,114,1173,251,203,68,424,57.81,384.13,830.83,14.0,Type_30,Area_1,Type_5
910,2928,294,6,216,21,5075,204,239,174,1744,52.78,412.71,208.85,25.22,Type_23,Area_1,Type_5
7687,2867,95,32,300,195,1276,250,174,26,841,74.83,300.96,550.54,49.43,Type_13,Area_3,Type_5
1764,2912,107,26,511,-100,553,253,199,57,1820,59.29,327.3,977.25,42.48,Type_30,Area_1,Type_5
8588,2811,154,7,579,39,2058,229,241,145,1864,75.77,442.35,789.35,19.27,Type_17,Area_3,Type_5
12499,2844,171,32,90,21,591,223,235,118,1294,75.93,160.76,831.78,35.98,Type_13,Area_3,Type_5
8264,2950,115,27,390,208,1940,254,201,56,636,31.32,424.99,620.91,54.53,Type_13,Area_3,Type_5
11638,2909,24,14,42,8,4878,212,209,131,1692,67.42,383.72,631.6,29.0,Type_23,Area_1,Type_5
3930,2815,101,14,228,61,1902,243,220,104,853,37.22,245.27,601.41,25.24,Type_31,Area_3,Type_5
12913,2830,116,26,190,50,2125,253,206,64,1423,89.77,295.3,1003.87,39.29,Type_13,Area_3,Type_5
13727,2786,6,5,42,0,1591,214,230,154,1673,89.43,424.69,863.39,52.35,Type_17,Area_3,Type_5
11811,2778,55,21,192,96,201,227,190,86,1315,87.93,406.44,1057.06,24.28,Type_29,Area_1,Type_5
12417,2922,169,22,212,67,430,230,243,132,942,36.73,430.84,773.18,48.32,Type_13,Area_3,Type_5
1496,2772,82,31,190,117,192,244,171,34,1733,70.09,250.76,1011.1,9.77,Type_30,Area_1,Type_5
2280,2677,82,22,85,23,192,244,195,70,636,34.26,444.13,554.79,15.49,Type_30,Area_1,Type_5
13640,2779,39,7,0,0,972,221,225,140,2143,71.3,286.07,1039.04,22.21,Type_17,Area_3,Type_5
6791,2763,236,23,162,68,1020,174,253,209,1851,79.55,325.88,277.15,19.98,Type_4,Area_3,Type_5
13607,2814,205,20,256,126,1100,203,254,178,1806,52.69,365.11,946.55,60.43,Type_4,Area_3,Type_5
6794,2802,223,21,228,111,1073,187,254,197,1819,49.01,166.43,485.03,40.16,Type_4,Area_3,Type_5
13782,2870,342,12,582,104,2116,195,222,166,816,30.82,314.63,1094.96,45.52,Type_11,Area_3,Type_5
4426,2869,299,9,90,-11,1670,196,237,181,1460,53.59,208.68,522.52,57.23,Type_23,Area_3,Type_5
13435,2951,158,17,450,113,725,236,240,128,2123,53.48,322.2,622.64,35.87,Type_33,Area_3,Type_5
590,2813,127,14,60,12,2845,243,230,112,2313,39.11,314.91,712.99,33.13,Type_29,Area_1,Type_5
13627,2797,85,8,30,4,990,232,227,128,2551,59.83,338.16,131.78,51.77,Type_11,Area_3,Type_5
14114,2751,129,16,457,117,2617,245,229,107,2079,62.52,437.1,922.98,7.28,Type_10,Area_3,Type_5
13960,2559,345,5,108,12,1566,209,231,160,1638,51.04,438.5,514.6,16.56,Type_2,Area_3,Type_5
13804,2888,0,11,579,122,2210,203,219,153,741,58.41,389.65,490.29,34.08,Type_11,Area_3,Type_5
6704,2884,47,10,342,58,845,224,217,127,1519,48.17,169.1,206.83,43.66,Type_11,Area_3,Type_5
1447,2743,61,33,108,24,150,226,154,0,1410,71.56,307.17,343.16,32.66,Type_30,Area_1,Type_5
7489,2775,44,20,216,103,1320,220,193,99,883,65.96,326.5,614.13,47.0,Type_13,Area_3,Type_5
31,2703,122,30,67,27,3191,254,201,52,6123,66.45,361.44,356.66,46.38,Type_30,Area_1,Type_5
8539,2854,139,20,175,103,2070,246,229,101,767,58.25,387.63,637.09,20.7,Type_13,Area_3,Type_5
2757,2696,92,11,0,0,1307,238,222,114,708,58.2,221.24,559.91,16.66,Type_31,Area_3,Type_5
7102,2768,319,16,216,52,1691,176,224,187,1128,42.08,372.65,1196.69,53.22,Type_11,Area_3,Type_5
3226,2927,149,11,270,72,558,234,240,135,997,83.45,406.33,274.8,55.48,Type_32,Area_3,Type_5
3636,2876,167,8,30,0,182,226,243,150,1048,59.17,215.23,860.41,46.22,Type_33,Area_3,Type_5
1502,2740,76,31,150,87,170,240,165,32,1738,58.75,394.43,301.28,9.48,Type_30,Area_1,Type_5
5292,2876,154,17,182,53,2166,238,239,124,938,41.06,367.07,500.46,18.08,Type_32,Area_3,Type_5
6788,2722,216,16,108,26,957,202,254,184,1900,78.31,222.95,207.41,56.98,Type_4,Area_3,Type_5
6424,2729,27,7,390,30,90,218,225,144,780,45.74,186.11,722.09,52.73,Type_11,Area_3,Type_5
6992,2615,118,13,408,-24,768,242,228,114,685,44.44,429.07,654.67,17.84,Type_17,Area_3,Type_5
6812,2811,203,25,256,128,1154,199,253,176,1766,33.12,415.77,950.75,7.48,Type_4,Area_3,Type_5
7202,2828,14,9,443,95,1919,212,222,147,907,38.13,444.03,308.77,42.89,Type_11,Area_3,Type_5
2355,2838,231,12,90,24,1855,200,251,187,1374,73.44,252.76,309.15,13.22,Type_23,Area_3,Type_5
7942,2569,322,6,255,20,1442,205,234,168,1572,68.46,314.31,119.39,28.48,Type_2,Area_3,Type_5
6825,2777,207,29,175,89,1127,187,251,182,1761,42.92,357.09,1022.72,16.0,Type_4,Area_3,Type_5
8492,2837,203,8,816,60,2255,216,247,166,1650,38.1,343.84,698.6,43.46,Type_17,Area_3,Type_5
12147,2642,267,22,42,-10,1358,158,243,220,1020,31.7,328.04,650.08,28.78,Type_23,Area_3,Type_5
12300,2743,169,20,150,37,480,231,244,135,664,52.97,439.61,192.62,5.4,Type_30,Area_1,Type_5
10648,2560,191,14,134,13,2202,218,250,162,2012,80.86,423.38,957.9,49.77,Type_2,Area_3,Type_5
20,2503,38,5,85,10,741,220,228,144,5555,47.47,395.8,1149.36,24.08,Type_18,Area_1,Type_5
4628,2858,327,11,0,0,1626,192,227,174,1224,60.03,362.74,346.26,33.13,Type_23,Area_3,Type_5
7765,2765,3,14,361,70,2885,200,213,149,1295,69.57,449.05,543.58,22.24,Type_32,Area_3,Type_5
12229,2845,144,20,175,22,780,244,232,108,376,63.02,226.69,1048.43,25.43,Type_30,Area_1,Type_5
13853,2843,49,22,306,171,1226,223,188,89,769,89.1,339.87,1139.16,60.26,Type_13,Area_3,Type_5
14049,2741,93,10,95,11,2493,236,225,120,2173,84.68,247.16,1038.96,63.72,Type_11,Area_3,Type_5
7435,2768,46,14,256,55,2598,224,208,115,272,31.38,394.22,811.01,60.94,Type_10,Area_3,Type_5
13638,2739,203,26,127,58,1328,197,252,176,1583,56.98,298.23,190.76,56.7,Type_4,Area_3,Type_5
11566,2692,103,17,0,0,1190,247,215,91,2132,45.8,361.5,809.71,8.71,Type_23,Area_1,Type_5
1767,2707,87,21,120,71,124,246,200,73,1809,74.24,441.81,715.15,11.03,Type_30,Area_1,Type_5
12097,2728,97,20,162,49,283,248,206,77,524,40.63,346.97,1097.45,12.53,Type_30,Area_1,Type_5
628,2721,101,18,42,13,2730,247,213,88,2185,74.85,168.18,441.0,59.76,Type_29,Area_1,Type_5
14277,2724,318,12,313,29,1288,187,229,181,2001,41.22,278.27,177.69,7.14,Type_11,Area_3,Type_5
2115,2809,49,5,277,11,450,222,229,142,551,69.26,381.23,199.22,63.17,Type_30,Area_1,Type_5
8002,2575,348,6,234,16,1536,209,231,160,1710,71.24,257.84,188.56,28.9,Type_2,Area_3,Type_5
2563,2856,23,13,95,29,930,212,211,134,277,33.01,361.69,421.29,18.3,Type_30,Area_1,Type_5
2220,2741,109,19,247,109,277,249,214,85,541,36.75,154.2,172.59,51.65,Type_30,Area_1,Type_5
12984,2833,130,21,170,37,2200,249,223,91,1288,85.25,370.36,465.15,41.97,Type_13,Area_3,Type_5
5291,2883,153,15,201,54,2136,237,239,129,932,46.91,217.11,1099.46,44.99,Type_32,Area_3,Type_5
12291,2759,183,20,182,41,510,221,249,152,671,55.65,321.78,210.6,34.94,Type_30,Area_1,Type_5
2509,2792,81,9,0,0,658,232,225,125,150,80.82,340.23,498.05,56.06,Type_30,Area_1,Type_5
6726,2790,188,22,277,91,819,216,250,157,2024,35.38,406.33,1072.63,22.57,Type_4,Area_3,Type_5
13660,2675,91,10,0,0,1450,236,224,119,1414,34.23,390.21,864.25,26.64,Type_10,Area_3,Type_5
6453,2731,60,8,391,32,153,226,224,132,847,55.82,345.6,916.82,17.54,Type_11,Area_3,Type_5
8591,2879,292,24,671,178,2040,146,228,218,1869,80.84,283.25,462.73,48.61,Type_13,Area_3,Type_5
13541,2922,181,20,616,90,685,223,248,149,1602,58.14,414.83,803.93,24.72,Type_4,Area_3,Type_5
44,2703,330,27,30,17,3141,146,197,184,6186,84.56,297.96,582.31,21.75,Type_16,Area_1,Type_5
694,2707,5,18,42,6,1242,195,203,143,2190,44.54,364.61,125.84,17.15,Type_23,Area_1,Type_5
13446,2928,219,14,360,90,832,204,252,183,2215,83.3,444.54,999.75,53.78,Type_33,Area_3,Type_5
3318,2806,111,30,153,51,819,254,193,43,1340,30.32,332.02,474.79,42.95,Type_13,Area_3,Type_5
1560,2708,80,29,67,-17,108,244,174,39,2200,84.0,268.53,1071.42,20.22,Type_30,Area_1,Type_5
701,2724,349,15,67,4,1302,191,213,160,2252,61.96,170.56,1000.56,40.71,Type_29,Area_1,Type_5
7608,2877,80,28,306,205,1233,244,178,45,778,67.49,175.66,406.42,43.25,Type_13,Area_3,Type_5
8304,2831,107,33,190,98,2137,254,182,28,450,42.89,387.19,451.19,5.78,Type_13,Area_3,Type_5
4573,2883,72,13,295,-7,1961,235,214,109,1425,44.34,162.82,417.32,36.22,Type_32,Area_3,Type_5
893,2917,280,11,108,4,5037,191,241,190,1667,79.81,267.43,326.99,42.46,Type_23,Area_1,Type_5
953,2955,26,8,124,5,4592,216,222,142,2205,40.52,439.41,759.03,20.49,Type_23,Area_1,Type_5
1451,2753,57,32,95,34,162,222,155,41,1434,59.83,247.39,386.47,45.78,Type_30,Area_1,Type_5
47,2524,94,7,212,-4,684,232,229,130,5474,48.7,164.2,432.6,27.38,Type_18,Area_1,Type_5
12166,2851,110,21,124,24,1006,251,211,78,247,66.84,433.86,571.32,36.46,Type_29,Area_1,Type_5
4273,2795,111,17,108,31,2040,247,220,96,1019,39.09,187.96,855.42,20.53,Type_13,Area_3,Type_5
10145,2834,51,17,210,46,1973,226,202,104,2032,67.5,361.95,498.76,28.42,Type_33,Area_3,Type_5
10633,2593,169,10,67,1,2955,228,244,148,2135,43.19,430.78,1083.62,51.99,Type_2,Area_3,Type_5
8605,2808,176,4,560,43,2024,221,241,156,1892,57.09,248.03,322.08,18.54,Type_17,Area_3,Type_5
8173,2698,80,11,0,0,2164,234,221,118,2553,59.18,321.28,619.28,17.09,Type_11,Area_3,Type_5
11823,2834,63,29,295,184,309,231,169,51,1471,56.18,190.35,543.43,59.66,Type_30,Area_1,Type_5
14684,2795,117,5,90,7,1976,229,235,139,1936,36.61,228.43,367.91,25.84,Type_33,Area_3,Type_5
8721,2843,189,24,366,116,1711,213,249,157,2192,48.8,420.04,610.89,10.62,Type_4,Area_3,Type_5
13527,2960,188,10,726,257,537,221,248,160,1570,79.87,402.04,236.7,8.78,Type_11,Area_3,Type_5
1457,2764,55,31,85,10,175,222,159,48,1458,71.37,369.29,461.24,38.1,Type_30,Area_1,Type_5
4319,2862,291,11,124,-18,1604,190,238,188,1421,54.33,363.03,920.59,27.69,Type_23,Area_3,Type_5
3592,2878,231,12,361,113,2060,201,251,186,797,40.53,359.91,709.9,60.32,Type_31,Area_3,Type_5
11480,2647,108,22,85,31,1320,251,210,76,612,79.73,257.92,552.99,39.6,Type_30,Area_1,Type_5
7200,2801,15,15,371,52,1822,206,209,138,1082,86.84,211.47,674.25,5.48,Type_10,Area_3,Type_5
12820,2836,355,13,0,0,1533,198,217,156,1172,60.76,226.6,303.1,13.08,Type_23,Area_3,Type_5
6441,2736,30,7,485,37,90,218,226,143,779,46.13,374.4,408.54,8.44,Type_11,Area_3,Type_5
3275,2948,180,27,162,35,277,218,245,142,805,80.17,184.42,221.57,60.71,Type_13,Area_3,Type_5
13478,2713,63,7,192,20,170,226,226,134,858,71.16,359.88,912.36,13.95,Type_11,Area_3,Type_5
1766,2823,96,25,390,170,391,250,196,59,1802,49.48,278.19,524.86,51.62,Type_30,Area_1,Type_5
1383,2747,52,21,124,60,127,225,189,87,1235,88.16,333.61,697.43,24.96,Type_29,Area_1,Type_5
2118,2760,108,23,256,128,270,252,207,71,658,66.92,271.27,255.43,9.96,Type_30,Area_1,Type_5
6770,2797,284,18,258,102,1006,168,237,208,1885,49.7,204.15,510.92,36.03,Type_4,Area_3,Type_5
11768,2759,55,32,162,76,182,221,155,43,1595,33.13,329.44,811.23,50.44,Type_29,Area_1,Type_5
2472,2849,253,18,30,5,1992,178,249,208,1276,87.84,388.45,227.31,35.6,Type_23,Area_3,Type_5
11814,2790,62,20,228,97,234,233,195,86,1343,39.7,160.82,613.06,18.02,Type_29,Area_1,Type_5
2817,2780,315,6,0,0,2207,205,235,170,816,59.93,346.94,323.9,28.39,Type_31,Area_3,Type_5
1304,2813,65,19,228,146,242,234,198,88,1583,62.48,364.42,1193.0,36.96,Type_29,Area_1,Type_5
1733,2755,87,24,216,106,228,247,194,63,1891,61.62,359.65,203.02,39.06,Type_30,Area_1,Type_5
7472,2766,39,23,216,117,1310,215,184,95,878,32.3,448.82,437.3,40.8,Type_13,Area_3,Type_5
2953,2866,310,11,30,2,2106,189,232,183,940,72.86,410.65,457.59,9.14,Type_33,Area_3,Type_5
11874,2591,146,11,30,-3,708,235,239,134,1507,67.47,369.74,167.22,11.0,Type_20,Area_3,Type_5
6834,2716,205,26,67,25,1087,196,253,179,1774,85.11,422.33,931.27,29.33,Type_4,Area_3,Type_5
7052,2631,352,2,210,-8,984,216,236,157,735,61.64,296.78,104.53,53.73,Type_17,Area_3,Type_5
1234,2765,53,29,313,92,323,221,163,56,2026,31.87,437.7,1002.73,16.64,Type_29,Area_1,Type_5
12107,2879,247,14,85,-6,1889,189,250,197,1495,75.54,247.41,631.59,52.29,Type_23,Area_3,Type_5
7744,2833,83,29,242,161,1366,245,178,42,942,48.07,240.91,253.72,50.66,Type_13,Area_3,Type_5
